center,mask_name,operation,radius,f1,precision,recall,miou,gt_area,perturbed_area,area_ratio
Colour1,Color1_000012.PNG,dilation,3,0.8367894794024482,0.7193792940033191,0.9999999999945112,0.7193792940033191,18219.0,25326.0,1.3900872715220918
Colour1,Color1_000013.PNG,erosion,1,0.9229711904420946,0.9999999999900764,0.8569606258962754,0.8569606258962754,11759.0,10077.0,0.8569606258962754
Colour1,Color1_000013.PNG,erosion,2,0.8304157063530975,0.9999999999880225,0.7100093545309124,0.7100093545309124,11759.0,8349.0,0.7100093545309124
Colour1,Color1_000013.PNG,erosion,3,0.7255879021695063,0.9999999999850635,0.569351135295779,0.569351135295779,11759.0,6695.0,0.569351135295779
Colour1,Color1_000013.PNG,dilation,1,0.9329577413947373,0.8743400996291595,0.9999999999914958,0.8743400996291595,11759.0,13449.0,1.143719704046741
Colour1,Color1_000013.PNG,dilation,2,0.8717473005083192,0.7726526052909346,0.9999999999914958,0.7726526052909346,11759.0,15219.0,1.2942427077022345
Colour1,Color1_000013.PNG,dilation,3,0.8196709400490471,0.6944428039881034,0.9999999999914958,0.6944428039881034,11759.0,16933.0,1.440003401637554
Colour1,Color1_000014.PNG,erosion,1,0.9651860630420552,0.9999999999966726,0.9327146891749706,0.9327146891749706,32221.0,30053.0,0.9327146891749706
Colour1,Color1_000014.PNG,erosion,2,0.9266821621244514,0.9999999999964053,0.8633810247948127,0.8633810247948127,32221.0,27819.0,0.8633810247948127
Colour1,Color1_000014.PNG,erosion,3,0.8871465823017523,0.9999999999961068,0.7971819620719494,0.7971819620719494,32221.0,25686.0,0.7971819620719494
Colour1,Color1_000014.PNG,dilation,1,0.9673796693327461,0.9368203756441913,0.9999999999968964,0.9368203756441913,32221.0,34394.0,1.0674404891186884
Colour1,Color1_000014.PNG,dilation,2,0.935473987396809,0.8787705230980233,0.9999999999968964,0.8787705230980233,32221.0,36666.0,1.1379535085778283
Colour1,Color1_000014.PNG,dilation,3,0.9065867093882005,0.829134607959576,0.9999999999968964,0.829134607959576,32221.0,38861.0,1.2060767822190308
Colour1,Color1_000015.PNG,erosion,1,0.9111768293384591,0.9999999999919801,0.8368456375782761,0.8368456375782761,14900.0,12469.0,0.8368456375782761
Colour1,Color1_000015.PNG,erosion,2,0.8025395324301049,0.9999999999899859,0.6702013422773812,0.6702013422773812,14900.0,9986.0,0.6702013422773812
Colour1,Color1_000015.PNG,erosion,3,0.6747308989823007,0.9999999999868179,0.5091275167751065,0.5091275167751065,14900.0,7586.0,0.5091275167751065
Colour1,Color1_000015.PNG,dilation,1,0.9243462389370386,0.8593344483484668,0.9999999999932886,0.8593344483484668,14900.0,17339.0,1.163691275159975
Colour1,Color1_000015.PNG,dilation,2,0.8572085576190737,0.7501006846518823,0.9999999999932886,0.7501006846518823,14900.0,19864.0,1.33315436240716
Colour1,Color1_000015.PNG,dilation,3,0.8004942169010788,0.6673534285812364,0.9999999999932886,0.6673534285812364,14900.0,22327.0,1.4984563758288694
Colour1,Color1_000016.PNG,erosion,1,0.9047445291110485,0.9999999999919569,0.8260580692257918,0.8260580692257918,15051.0,12433.0,0.8260580692257918
Colour1,Color1_000016.PNG,erosion,2,0.7859158996918929,0.9999999999897361,0.6473324031582796,0.6473324031582796,15051.0,9743.0,0.6473324031582796
Colour1,Color1_000016.PNG,erosion,3,0.6477088510783408,0.9999999999861284,0.47897149690732194,0.47897149690732194,15051.0,7209.0,0.47897149690732194
Colour1,Color1_000016.PNG,dilation,1,0.9199877253756017,0.851830890254956,0.9999999999933559,0.851830890254956,15051.0,17669.0,1.1739419307609198
Colour1,Color1_000016.PNG,dilation,2,0.8493791836351835,0.7381921624369111,0.9999999999933559,0.7381921624369111,15051.0,20389.0,1.3546608198700774
